Expedicion,Andinista,Pais,Cumbre,Latitud,Longitud,Fecha
1,1,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-02-28
1,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-02-28
1,1,Alemania,Parque San Francisco,-32.688273,-70.380706,2015-03-02
1,2,Alemania,Parque San Francisco,-32.688273,-70.380706,2015-03-02
2,1,Rusia,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-06-10
2,2,Kazakhstan,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-06-10
3,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-03-10
3,1,Argentina,Nevado Tres Cruces,-27.0833333,-68.7666667,2015-03-13
4,1,USA,Nevado Ojos del Salado,-27.1091666,-68.5408333,2016-03-16
4,2,Inglaterra,Nevado Ojos del Salado,-27.1091666,-68.5408333,2016-03-16
4,3,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,2016-03-16
4,4,Australia,Nevado Ojos del Salado,-27.1091666,-68.5408333,2016-03-16
5,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-06-04
6,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-01-26
7,1,Bélgica,Torres del Paine: Torre Norte,-50.941552,-73.404732,2016-01-08
7,2,Bélgica,Torres del Paine: Torre Norte,-50.941552,-73.404732,2016-01-08
8,1,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-07-14
8,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-07-14
8,3,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-07-14
9,1,Argentina,Torres del Paine: Torre Norte,-50.941552,-73.404732,2016-03-27
10,1,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,2014-04-21
10,2,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,2014-04-21
10,3,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,2014-04-21
10,4,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,2014-04-21
10,1,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-04-16
10,2,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-04-16
10,3,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-04-16
10,4,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-04-16
11,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-12-02
11,2,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,2014-12-02
12,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-09-16
12,2,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,2015-09-16
